지점명,주소,위도,경도
서울웨이브아트센터,서울특별시 서초구 잠원로 145-35 (잠원동),37.518807,127.007040
길음역,서울특별시 성북구 정릉로 376 (돈암동),37.602139,127.025271
미아이마트,서울특별시 성북구 도봉로 17 ,37.610678,127.029921
종암DT,서울특별시 성북구 종암로 17 (종암동),37.5919525,127.0360401
미아,서울특별시 성북구 동소문로 314 (하월곡동),37.607581,127.029303
성신여대정문,서울특별시 성북구 보문로34길 62 (동선동2가),37.590910,127.018800
종암,서울특별시 성북구 종암로 122 (종암동),37.601095,127.033847
삼선교,서울특별시 성북구 동소문로 10 (동소문동2가),37.588696,127.00732070000003
월곡역,"서울특별시 성북구 화랑로 76, 101-1호 (하월곡동)",37.601718,127.040446
고대,서울특별시 성북구 고려대로 24길 51 (안암동5가),37.58397192,127.0297352
현대미아,"서울특별시 성북구 동소문로 315, 현대백화점미아점 지하 1층 (길음동)",37.60837822,127.0287483
성신여대,서울특별시 성북구 동소문로24길 12 (동선동1가),37.593135,127.018379
안암역,서울특별시 성북구 고려대로 102-2 (안암동5가),37.586319,127.030556
한성대입구역,서울특별시 성북구 성북로 11 (성북동1가),37.589054,127.004839
송파나루역DT,서울특별시 송파구 오금로 142 (송파동),37.510793,127.1102658
송파헬리오시티,"서울특별시 송파구 송파대로 345 (가락동, 헬리오시티)",37.4978563,127.1031325
잠실시그마타워,서울특별시 송파구 올림픽로 289 (신천동),37.514567,127.102493
문정법원로R,서울특별시 송파구 송파대로 201 (문정동),37.487447,127.119164
송파개롱역,서울특별시 송파구 오금로 420 (가락동),37.496956,127.13652
문정하비오,"서울특별시 송파구 송파대로 111 (문정동, 파크하비오) 204동 104호~107호",37.481925,127.123446
문정역,"서울특별시 송파구 송파대로 167 (문정동)테라타워 B동 137호~139호,204호",37.484813,127.122237
잠실대교남단R,서울특별시 송파구 송파대로 570 타워 730 1층,37.515511,127.099006
송파위례,"서울특별시 송파구 위례광장로 230 (장지동, 위례2차아이파크)",37.478264,127.144067
송파방이DT,서울특별시 송파구 오금로 241 (방이동),37.506564,127.120495
송파구청,서울특별시 송파구 오금로 87 (방이동),37.514573,127.107404
올림픽평화의문,서울특별시 송파구 위례성대로 38 (방이동) 해태그린피아빌라트,37.5156426,127.11648190000005
송파아이파크,서울특별시 송파구 법원로 55 (문정동),37.479892,127.122379
송파사거리,서울특별시 송파구 송파대로 386 (송파동),37.5022788,127.1103904
석촌서호,서울특별시 송파구 석촌호수로 176 (삼전동),37.5063929,127.0964684
문정로데오,서울특별시 송파구 동남로 141 (가락동),37.491905,127.1262696
